query_id,config,lambda,query,reference_answer,retrieved_context,generated_answer,retrieval_s,generation_s,total_s,timestamp,query_confidence
Q001,full_hybrid,0.5,How are meal plans managed at TARC?,"Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Question: How are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Before I forget to ask — how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question: Sorry if this was already answered, but how are meal plans managed at TARC?
Answer: Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively

Question (Banglish): BRAC Savar Residential Campus dining hall weekly menu nutritionist guidance follow kore?
Answer (English): Yes, meal plans are designed under nutritional guidelines to offer balanced diets for resident students.

Question (Banglish): TARC e meal plan kivabe manage kora hoy?
Answer (English): Tarc provides 3 main meals breakfast,lunch and dinner and two snack time followed by them.Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm,dinner continues from 8:30-10 pm followed by snacks time which are from 11-12 am and 4-5 pm colleectively","Meal plans are managed at TARC by providing three main meals - breakfast, lunch, and dinner - and two snack times that follow them. Breakfast time continues from 7-9 am, lunch time continues from 12:30-3 pm, dinner continues from 8:30-10 pm, followed by snacks time which are from 11-12 am and 4-5 pm collectively.",0.0616,21.8510,21.9126,2026-07-31T09:56:16.471981+00:00,0.0177
Q002,full_hybrid,0.5,Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?,The fee appears temporarily and will be waived automatically once the scholarship is adjusted.,"Question: Reason for late fee appearing on pay slip of scholarship recipients after 29 June 2025?
Answer: The fee appears temporarily and will be waived automatically once the scholarship is adjusted.

Question (Banglish): Scholarship pawa student der pay slip e 29 June 2025 er por late fee keno ashe?
Answer (English): The fee appears temporarily and will be waived automatically once the scholarship is adjusted.

Question: Consequence of adding courses after 24 June 2025?
Answer: A late registration fee will be applied.

Question: What are the consequences of late payment of tuition and fees?
Answer: At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status

Question: Can you tell me what the consequences of late payment of tuition and fees are?
Answer: At BRAC University, failure to make timely payments of tuition and fees can result in significant academic and financial consequences. Students who do not meet payment deadlines may have their academic results withheld, preventing them from accessing their grades or academic records. Additionally, unpaid dues can lead to the student being blocked from registering for future semesters, thereby delaying their academic progress. The university may also impose late fees or penalties, further increasing the cost of attendance. In extreme cases, continued non-payment could result in deregistration from the university, causing the student to lose their enrollment status",The reason for a late fee appearing on the pay slip of scholarship recipients after 29 June 2025 is that the fee appears temporarily and will be waived automatically once the scholarship is adjusted.,0.0273,6.8002,6.8275,2026-07-31T09:56:23.299965+00:00,0.4293
Q003,full_hybrid,0.5,When is the next intake for the undergraduate program?,"BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.","Question: When is the next intake for the undergraduate program?
Answer: BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question: Do you know when is the next intake for the undergraduate program?
Answer: BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question (Banglish): Undergraduate program e porer barer intake ta thik kobe theke shuru hobe?
Answer (English): BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.

Question: When did the Department of Architecture at BRAC University start, and how large is its typical intake?
Answer: The department started in Spring 2002 with 15 students and 3 faculty members. Admission is competitive and intake has historically been limited to around 25-30 students per year to maintain close studio supervision.

Question: When does it start?
Answer: Could you clarify what you're asking about - a specific semester, an event, the Residential Semester? Happy to help once I know which one.","BRAC University admits new undergraduates three times a year - Spring (classes start January), Summer (May), and Fall (September). The exact application deadline and admission test date for the next intake are published on the Admissions page (bracu.ac.bd/admissions) closer to that semester.",0.0232,8.9827,9.0059,2026-07-31T09:56:32.306859+00:00,0.0184
Q004,full_hybrid,0.5,Can you tell me what the minimum and maximum number of group members for a thesis/project is?,A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,"Question: Can you tell me what the minimum and maximum number of group members for a thesis/project is?
Answer: A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question: What is the minimum and maximum number of group members for a thesis/project?
Answer: A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question (Banglish): Thesis/project er jonno group member minimum ar maximum koyjon lagbe?
Answer (English): A thesis/project group must have a minimum of 1 member and a maximum of 5 members.

Question: Can you tell me what the maximum number of supervisors/co-supervisors allowed per group is?
Answer: A maximum of 2 supervisors and 2 co-supervisors.

Question: Can you tell me what the minimum credit requirement to start a thesis/project/internship is?
Answer: Students need a minimum of 75 completed credits to start a thesis, project, or internship.",A thesis/project group must have a minimum of 1 member and a maximum of 5 members.,0.0296,4.6938,4.7234,2026-07-31T09:56:37.030585+00:00,0.0614
Q005,full_hybrid,0.5,Before I forget to ask — what should students do if they have a scheduling conflict with their exams?,"The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.","Question: Before I forget to ask — what should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: Random question, what should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question: What should students do if they have a scheduling conflict with their exams?
Answer: The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question (Banglish): Exam er scheduling e conflict thakle student der ki korte hoy?
Answer (English): The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.

Question (Banglish): BRAC e Midterm ba Final Exam conflict hoye gele student er ki koronio?
Answer (English): If a student faces an exam time conflict (two exams scheduled at the same time), they must inform their respective course instructors and the Department Office at least one week prior to the exam to arrange a rescheduled test.","The first step is to inform the course instructor about the conflict as soon as possible. If the conflict involves multiple exams or cannot be resolved with the instructor, students should consult their department office. The department can provide additional support or coordinate with other instructors to find a solution.",0.0274,8.1938,8.2212,2026-07-31T09:56:45.252108+00:00,0.1227
Q006,full_hybrid,0.5,Where is the EEE Department?,The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,"Question: Where is the EEE Department?
Answer: The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question (Banglish): EEE Department kothay?
Answer (English): The EEE Department is located on the 4th floor and the labs are on 11th and 12th.

Question: Where is EEE department's printing Lab?
Answer: The EEE Department's printing lab is on 12B-17L

Question: What undergraduate and graduate programs does the Department of EEE offer?
Answer: The Department of Electrical and Electronic Engineering offers two undergraduate programs - Bachelor of Science in Electrical and Electronic Engineering (BSEEE) and Bachelor of Science in Electronic and Communication Engineering (BSECE) - plus two graduate programs, the Master of Science in EEE (MScEEE) and the Master of Engineering in EEE (MEnggEEE).

Question (Banglish): Department of EEE ki ki undergraduate ar graduate program offer kore?
Answer (English): The Department of Electrical and Electronic Engineering offers two undergraduate programs - Bachelor of Science in Electrical and Electronic Engineering (BSEEE) and Bachelor of Science in Electronic and Communication Engineering (BSECE) - plus two graduate programs, the Master of Science in EEE (MScEEE) and the Master of Engineering in EEE (MEnggEEE).",The EEE Department is located on the 4th floor and the labs are on 11th and 12th.,0.0177,5.3097,5.3274,2026-07-31T09:56:50.579813+00:00,0.0367
Q007,full_hybrid,0.5,What services does the BRAC University Medical Center provide?,"The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.","Question: Hi, what services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning, among other services.

Question: What services does the BRAC University Medical Center provide?
Answer: The Medical Center offers emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, and workshops on reproductive health and family planning. It also runs blood donation programs in collaboration with student clubs, arranges vaccination drives for communicable diseases, and holds regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.

Question: What health services are available on the 1st Floor?
Answer: The Medical Center provides health services, including consultations and emergency care.

Question: Does BRAC University have a medical center for students?
Answer: Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.

Question (Banglish): BRAC University te student der jonno ki medical center ache?
Answer (English): Yes, BRAC University's Student Life section lists a Medical Center that provides healthcare services to students on campus, in addition to the medical facilities available at the Savar Residential Campus.","The BRAC University Medical Center provides emergency medical services and free consultations/medicine to students and employees, health checkups with an official Health Card, referrals to partner hospitals for emergencies, ambulance support, workshops on reproductive health and family planning, blood donation programs in collaboration with student clubs, vaccination drives for communicable diseases, and regular STD/reproductive health workshops each semester with BRAC James P Grant School of Public Health.",0.0276,11.3882,11.4158,2026-07-31T09:57:01.996433+00:00,0.1001
Q008,full_hybrid,0.5,When must course selections be confirmed after Pre-Registration phases?,During the Self-Registration period assigned after result publication,"Question: When must course selections be confirmed after Pre-Registration phases?
Answer: During the Self-Registration period assigned after result publication

Question (Banglish): Pre-Registration phase er por course selection kobe confirm korte hobe?
Answer (English): During the Self-Registration period assigned after result publication

Question: Final opportunity for course registration after Pre-Registration Phases?
Answer: The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question: Just wondering, final opportunity for course registration after Pre-Registration Phases?
Answer: The Self-Registration period is the final opportunity for course registration after both Pre-Registration phases have ended.

Question: Quick question — action to take if course selection is finalized during advising?
Answer: Press the ""Confirm"" button to confirm advising.",Course selections must be confirmed during the Self-Registration period assigned after result publication.,0.0231,4.2601,4.2832,2026-07-31T09:57:06.279867+00:00,0.6639
Q009,full_hybrid,0.5,Where do i have to park the vehicle?,You can park your vehicle at basement-2.,"Question: Where do i have to park the vehicle?
Answer: You can park your vehicle at basement-2.

Question (Banglish): Amar vehicle ta kothay park korte hobe?
Answer (English): You can park your vehicle at basement-2.

Question: How long can i park my vehicle on campus?
Answer: As long as you're paying the parking fee

Question (Banglish): Ami koto shomoy campus e amar vehicle park korte pari?
Answer (English): As long as you're paying the parking fee

Question: Where is the Cycle Garage located?
Answer: Ground Floor, Gate no. 2 (Pocket Gate)",You can park your vehicle at basement-2.,0.0199,3.7515,3.7714,2026-07-31T09:57:10.051400+00:00,0.1474
Q010,full_hybrid,0.5,Purpose of the Wishlist event for Summer 2025?,To help plan course offerings based on student demand,"Question: Purpose of the Wishlist event for Summer 2025?
Answer: To help plan course offerings based on student demand

Question (Banglish): Summer 2025 er Wishlist event er purpose ki?
Answer (English): To help plan course offerings based on student demand

Question: Why is participation in the Wishlist event important?
Answer: Course offerings will be based on student demand collected from Wishlist submissions

Question (Banglish): Wishlist event e participation kora keno eto important, seta ektu bujhiye bolben?
Answer (English): Course offerings will be based on student demand collected from Wishlist submissions

Question (Banglish): Ke Wishlist event e participate korte hobe?
Answer (English): All undergraduate students attending upcoming, excluding RS-eligible students and LLB, PHR students",The purpose of the Wishlist event for Summer 2025 is to help plan course offerings based on student demand.,0.0231,4.6742,4.6973,2026-07-31T09:57:14.749366+00:00,0.0352
